conf,matched_queries,title,citation_count,abstract,categories,concepts,code_url,pdf_url,authors,doi
IJCAI2021,,Multi-Channel Pooling Graph Neural Networks,28,"Graph pooling is a critical operation to downsample a graph in graph neural networks. Existing coarsening pooling methods (e.g. DiffPool) mostly focus on capturing the global topology structure by assigning the nodes into several coarse clusters, while dropping pooling methods (e.g. SAGPool) try to preserve the local topology structure by selecting the top-k representative nodes. However, there lacks an effective method to integrate the two types of methods so that both the local and the global topology structure of a graph can be well captured. To address this issue, we propose a Multi-channel Graph Pooling method named MuchPool, which captures the local structure, the global structure, and node feature simultaneously in graph pooling. Specifically, we use two channels to conduct dropping pooling based on the local topology and node features respectively, and one channel to conduct coarsening pooling. Then a cross-channel convolution operation is designed to refine the graph representations of different channels. Finally, the pooling results are aggregated as the final pooled graph. Extensive experiments on six benchmark datasets present the superior performance of MuchPool. The code of this work is publicly available at Github.","Advanced Graph Neural Networks,Graph Theory and Algorithms,Recommender Systems and Techniques","Pooling,Computer science,Graph,Topological graph theory,Topology (electrical circuits),Network topology,Theoretical computer science,Data mining,Artificial intelligence,Mathematics,Voltage graph,Line graph,Computer network,Combinatorics",,https://www.ijcai.org/proceedings/2021/0199.pdf,"Jinlong Du, Senzhang Wang, Hao Miao, Jiaqiang Zhang",https://doi.org/10.24963/ijcai.2021/199
IJCAI2021,,Guided Attention Network for Concept Extraction,5,"Concept extraction aims to find words or phrases describing a concept from massive texts. Recently, researchers propose many neural network-based methods to automatically extract concepts. Although these methods for this task show promising results, they ignore structured information in the raw textual data (e.g., title, topic, and clue words). In this paper, we propose a novel model, named Guided Attention Concept Extraction Network (GACEN), which uses  title, topic, and clue words as additional supervision to provide guidance directly. Specifically, GACEN comprises two attention networks, one of them is to gather the relevant title and topic information for each context word in the document. The other one aims to model the implicit connection between informative words (clue words) and concepts. Finally, we aggregate information from two networks as input to Conditional Random Field (CRF) to model dependencies in the output. We collected clue words for three well-studied datasets. Extensive experiments demonstrate that our model outperforms the baseline models with a large margin, especially when the labeled data is insufficient.","Advanced Text Analysis Techniques,Topic Modeling,Biomedical Text Mining and Ontologies","Computer science,Conditional random field,Margin (machine learning),Word (group theory),Artificial intelligence,Aggregate (composite),Natural language processing,Context (archaeology),Task (project management),Field (mathematics),Attention network,Baseline (sea),Information extraction,Artificial neural network,Information retrieval,Machine learning,Linguistics,Geology,Economics,Management,Paleontology,Philosophy,Composite material,Oceanography,Materials science,Biology,Pure mathematics,Mathematics",,https://www.ijcai.org/proceedings/2021/0200.pdf,"Songtao Fang, Zhenya Huang, Ming He, Shiwei Tong, Xiaoqing Huang, Ye Liu, Jie Huang, Qi Liu",https://doi.org/10.24963/ijcai.2021/200
